,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Saint Vincent/Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),7596.136986,8479.887671,7075.073973,8576.967213,9245.019178,8300.712329,9531.956164,9900.15847,9814.947945,6482.991781,5085.89589,4663.202186,3387.821918,4870.016438,4264.991781,5085.95082,5064.156164,6410.003595,8114.995863,8332.19425,8880.041096,8885.531507,8921.506849,8912.95082,9130.726027,9174.054795,8554.091521,9068.011066,8798.454753,8557.356726,9975.9,10214.10369,10932.96093,10773.04936,10304.24986,11428.34133,10314.09165,9748.230344,11017.79516,11490.27136,11272.06727,11334.20971,11763.09706,12170.17616,11832.44237,12113.91229,11466.68564,10846.0002,10835.34069,12143.80663,11133.34925,
"            Crude oil, NGPL, and other liquids (Mb/d)",7596.136986,8479.887671,7075.073973,8576.967213,9245.019178,8300.712329,9531.956164,9900.15847,9814.947945,6482.991781,5085.89589,4663.202186,3387.821918,4870.016438,4264.991781,5085.95082,5064.156164,6410.003595,8114.995863,8332.19425,8880.041096,8885.531507,8921.506849,8912.95082,9130.726027,9174.054795,8554.091521,9068.011066,8798.454753,8557.356726,9975.9,10208.68169,10926.78993,10766.93936,10297.13386,11422.25643,10310.11245,9741.136044,11008.38136,11483.50996,11266.97187,11323.81281,11744.72776,12152.36066,11813.88767,12095.13699,11447.64384,10828,10815.6543,12124.39382,11113.47945,
                Crude oil including lease condensate (Mb/d),7596.136986,8479.887671,7075.073973,8576.967213,9245.019178,8300.712329,9531.956164,9900.15847,9814.947945,6482.991781,5085.89589,4663.202186,3387.821918,4870.016438,4264.991781,5085.95082,5064.156164,6410.046575,8115.153425,8216.202186,7959.041096,7898.531507,7936.506849,7907.95082,8083.726027,8092.054795,7519.794521,7997.336066,7697.627397,7379.739726,8765.9,8993.654372,9779.914932,9642.117356,9190.088863,9261.25097,8250.112447,8417.012455,9620.286772,9996.579962,9872.870454,9905.32092,10335.61776,10634.71038,10305.42466,10598.13699,9980.90411,9405.666667,9313.144707,10644.39382,9733.479452,
                NGPL (Mb/d),,,,,,,,,,,,355,316,304,345,416,421,741.1369863,814,826,921,952,941,955,992,1022,974.297,1010.675,1030.389,1097.617,1130,1135.027322,1066.875,1044.822,1027.045,2080,1980,1244.123589,1308.094589,1406.93,1314.101411,1338.49189,1329.11,1437.650273,1428.463014,1417,1386,1342.333333,1422.509589,1400,1300,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,35,44,50,55,60,60,60,70.43835616,80,80,80,80,80,80,81.00546448,80,80,80,80,80,80,80,80,80,80,80.73972603,80,80,80,80,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,-8.7,-4.8,-1.5,2.2,1.1,2.7,3.6,3.949774005,4.544060427,0.110767123,1.810606219,5.422,6.171,6.11,7.116,6.0849,3.9792,7.0943,9.4138,6.7614,5.0954,10.3969,18.3693,17.8155,18.5547,18.7753,19.0418,18.0002,19.68639597,19.41280889,19.86979895,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0.1,-0.1,-0.2,-0.1,-0.2,-0.094967781,-0.063039232,,,,,,,,,,,,-0.059,-0.039,-0.013,-0.065,-0.0777,-0.0277,0.03312,0.01309,-0.0542,-0.0341,-0.0226,-0.0248,-0.0241,-0.0251,-0.0254,-0.0265,-0.0251,-0.027406808,-0.027069783,8.780514861,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.808219178,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.808219178,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,-0.046,,,,,,,0.015475488,-0.027525813,-0.021126682,-0.031287507,-0.059,-0.039,-0.013,-0.065,-0.0777,-0.0277,0.03312,0.01309,-0.0542,-0.0341,-0.0226,-0.0248,-0.0241,-0.0251,-0.0254,-0.0265,-0.0251,-0.027406808,-0.027069783,-0.027704317,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,--,--,16.948,16.857,18.4502,19.7901,22.0376,19.64022192,18.06906776,19.99129041,19.39345616,22.99586712,22.6169,19.6839,18.704,18.7282,17.93585683,16.98580332,15.9315541,15.01653831,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,--,--,16,16.5,17,18.5,21,18.58082192,16.99726776,18.49589041,17.83835616,21.32876712,21,18,17,17,16.30225683,15.19918356,14.16975342,13.2099863,
                Crude oil including lease condensate (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,--,--,13,13,13,14,18,16.58082192,14.99726776,16.49589041,16.83835616,20.32876712,20,18,17,17,16.30225683,15.19918356,14.16975342,13.2099863,
                NGPL (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,--,--,3,3,3,3,3,2,2,2,1,1,1,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,--,--,0,0.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,--,--,0.948,0.357,1.4502,1.2901,1.0376,1.0594,1.0718,1.4954,1.5551,1.6671,1.6169,1.6839,1.704,1.7282,1.6336,1.786619755,1.76180068,1.806552014,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,-0.011454089,-0.053872052,-0.039785906,-0.038228704,-0.037980268,-0.037570127,-0.007391254,,,,,,,,,,,,0.001,0.003,0.029,0.025,0.03165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,-0.035,0.1,,,,,,-0.002042152,0,0.000836068,0.003992929,0.001,0.003,0.029,0.025,0.03165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,4,4,4,4,4,4,-6.2,1.1,-5.7,-6.6,-6,-1.9,-4,,,,,,,,,,,,9.836,8.573,9.967,11.608,22.668,17.9403,20.2729,31.2596,35.8818,31.8839,35.9443,30.9931,31.6106,19.0121,19.2382,19.5112,18.444,20.17173396,19.89143716,20.35969443,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.02,0.3,0.7,2,1,5,15,16,15,15,12.171,13.356,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.02,0.3,0.7,2,1,5,15,16,15,15,12.171,13.356,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,-0.6,-3.1,-1.2,6.4,5.4,3.2,6.3,13.09457372,14.95604294,8.290424677,9.700655839,9.836,8.553,9.667,10.908,20.668,16.9403,15.2729,16.2596,19.8818,16.8839,20.9443,18.8221,18.2546,19.0121,19.2382,19.5112,18.444,20.17173396,19.89143716,20.35969443,
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1.35070137,1.504068493,1.442718579,1.29049589,1.172838356,1.328838356,1.169628415,1.266260274,6.466271233,5.978405479,10.98956557,8.19969863,8.030276712,7.484356164,10.50206885,7.054424658,12.135,9.9877,8.9624,10.9507,10.6264,11.7328,11.8556,9.46889726,6.582420548,5.751160274,5.908251913,6.362793499,6.994264655,9.477128177,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1.35070137,1.504068493,1.442718579,1.29049589,1.172838356,1.328838356,1.169628415,1.266260274,6.466271233,5.978405479,7.008565574,4.28369863,4.427276712,3.475356164,6.747868852,3.953424658,9.355,6.69,6.078,7.991,7.888,8.535,8.928,6.41979726,3.617520548,3.220060274,3.515551913,3.745961644,4.413791781,6.831956164,
                Crude oil including lease condensate (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1.35070137,1.504068493,1.442718579,1.29049589,1.172838356,1.328838356,1.169628415,0.918169863,0.89629589,0.838712329,0.759745902,0.608284932,0.550745205,0.468586301,0.42,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.215884932,0.211468493,0.208252055,0.080112022,0.091421918,0.04309863,0.028419178,
                NGPL (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,0.32889589,0.219273973,0.027386301,0.054693989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,0.019194521,5.35070137,5.112306849,6.194125683,3.675413699,3.876531507,3.006769863,6.327868852,3.753424658,9.155,6.49,5.878,7.791,7.688,8.335,8.728,6.203912329,3.406052055,3.011808219,3.435439891,3.654539726,4.370693151,6.803536986,
            Refinery processing gain (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.47,-0.2,0.6,0.5,0.5,0.5,0.6,2.190721311,2.36659726,2.660663014,3.614764384,3.981,3.916,3.603,4.009,3.7542,3.101,2.78,3.2977,2.8844,2.9597,2.7384,3.1978,2.9276,3.0491,2.9649,2.5311,2.3927,2.616831855,2.580472874,2.645172013,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,-0.1,,,,,,,,,,,,0.006,0.105,0.105,0.105,0.165,0.145,0.375,0.015,0.025,0.035,0.005,0.005,0.005,0,0,0,0,0.004958904,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,0,,,,,,,,,,,,0.006,0.105,0.105,0.105,0.165,0.145,0.375,0.015,0.025,0.035,0.005,0.005,0.005,0,0,0,0,0.004958904,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0,0,0,0.004958904,0,0,
                NGPL (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,0,0.1,0.1,0.1,0.16,0.14,0.37,0.01,0.02,0.03,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,,0.1,-0.1,,,,,,0.008327239,0.001567978,0.001045318,0.001849599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0.2,0.1,0.1,0.1,0.1,0.059655704,0.053806178,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0.054,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,4,20,55,55,60,67,72,67,77,77,77,140,130.5041096,175.032,185.032,187.5401967,199.6243288,196.9187808,199,199,194,205.8573973,191.9303096,234.1745,223.2924877,220.084263,214.1156685,193.1401667,180.7872,178.2618507,179.4813,177.5768683,177.8341219,161.0005,120.8933,115.5072,119.3687178,114.8799562,117.5916822,100.3847022,117.6615291,110.3739352,108.6084512,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,4,20,55,55,60,60,65,60,70,70,70,129,130.5041096,175.032,185.032,187.5401967,199.6243288,196.9187808,199,199,194,205.8573973,191.9303096,217.1605,208.4844877,205.833263,199.9776685,179.6716667,169.04,168.5531507,169.13,169.0425683,168.7108219,148,108.086,103.086,106.4321178,101.7895562,104.3154822,87.83470219,103.9358795,96.83904384,94.75493973,
