,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,508,513,507,504,498,485,471,472,492,496,521,529,597,640.0082192,720.551,775.5500356,838.7026995,892.9643836,905.3899808,894.8070603,862.8231038,918.6981753,895.3786329,876.6972603,888.3244399,830.3295288,831.1796301,802.6279151,804.5547268,786.124089,786.8620644,742.2983945,720.722118,704.9671288,713.0421055,705.2630425,705.0372634,686.3095116,704.8591449,723.059323,656.8417082,708.5545346,787.2274929,819.018804,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,504,508,503,499,493,480,465,464,484,487,510,515,583,640.0082192,720.551,775.5500356,838.7026995,892.9643836,905.3899808,894.8070603,862.8231038,918.6981753,895.3786329,876.6972603,860.3174399,806.8935288,806.4966301,788.0839151,793.1062268,772.272589,773.9335644,728.9765945,707.481918,693.2825288,701.3434055,693.9119425,694.0283634,674.8438116,693.2571449,711.292623,645.7186082,696.3894932,775.231481,806.7403982,
